Jobtitle,Companyname,Locations,Skills
Data Analyst,talabat -,"Kuwait City, Kuwait ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Coders - AI Training [Remote],Braintrust -,"Riyadh, Saudi Arabia ",Entry Level · Administration · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · javascript · engineering · html · coding · php
Process Engineer,SABIC -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Advanced Offensive Cyber Operations Instructor,"Silotech Group, Inc -","Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · computer science · information technology (it) · computer engineering · electrical engineering · linux · python · cyber security
Linux Admin-Riyadh,eTeam -,"Dubai, United Arab Emirates ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Linux · Computer Science · MySQL · System Administration · CentOS · PHP
Remote Virtual Data Input Clerk: Remote Work,Theaterbrigade -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · software · microsoft office · management
AI Engineer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
AI Engineer - UAE,Yeah! Global -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
Data Analyst,Colleges of Excellence -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Blockchain Developer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Blockchain · Computer Science · Software Engineering · Engineering · ASP.NET
Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Python · Engineering · Data Analysis · Software Development
Data Analyst,Sisco Jobs -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Sales Graduate,HP -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Sales Target · Information Technology (IT) · Customer Support · Outdoor Sales · Telecommunication
Data Scientist,Presight -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Analyst,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Process Engineer,Procter & Gamble -,"Makkah, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Data Analyst (0 Experience Required),Peroptyx -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
"Engineer, Process",SABIC -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Frappe developer,Dynamic Technology -,"Nasr City, Cairo, Egypt ",Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software Development · Finance
Senior Odoo Developer,Confidential -,"Cleopatra, Alexandria, Egypt ",Experienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Odoo · Programming · Software Development · Software
Certified Odoo Developer,Confidential -,"Baghdad, Iraq ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Odoo ERP · Information Technology (IT)
Senior DevOps Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Jenkins · Software Development · Kubernetes
Senior Data Analyst,Goldentex -,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI
Quality Assurance tester,Partner & More -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · QA · JIRA · Bugzilla · Quality Assurance · Cypress · Selenium · React Native · Firebase
Senior Full Stack Developer,Ibn Sina Pharma -,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · React · HTML · .Net · Node.js · CSS · JavaScript
IT system Administrator,Eduhive -,"Bolkly, Alexandria, Egypt ",Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · computer · Networks · Computer Engineering · Engineering · Network
System Administrator,Danat Travels  -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software · Communication · computer · Computer Science · Databases · Help desk · Information technology
Programming Trainer (Applications & Websites),GB Corp -,"6th of October, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Training/Instructor · Instructor · Training · Oracle · Microsoft SQL Server
Full Stack Team Lead,Salem Ventures -,"Maadi, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Information Technology (IT) · JavaScript · React · Java · CSS · Software Development
Full Stack Web Developer,Generator -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 12 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Laravel Framework · Web Development
Full Stack Developer,Al Shabab Al Tamoheen -,"Jeddah, Saudi Arabia ",Experienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Angular · Computer Science · CSS · HTML · Information Technology (IT) · Java
Smart Home Devices - IOT Team Leader,Confidential -,"Mansoura, Dakahlia, Egypt ",Experienced · 3 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Mechanical/Electrical · Electrical Engineering · Smart Home · Programming · Computer Science · Automation · Customer Service · Engineering
Unreal Engine Programmer,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Simulation · Programming · Unreal Engine · Game development · Sensors · c++
Senior Devops Engineer,Confidential -,"Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Information Technology (IT) · Docker · Cloud
web developer and PHP,souq.co -,"New Cairo, Cairo, Egypt ",Experienced · 1 - 15 Yrs of Exp · IT/Software Development · HTML · JavaScript · PHP · MySQL · Information Technology (IT) · Git · Computer Science · Angular · Software Development
Junior MERN Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt ",Experienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Angular · CSS · Full Stack · Software Development · HTML · Information Technology (IT) · Java
Senior MERN Full Stack Developer,Salem Ventures -,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS · Full Stack · Information Technology (IT) · Java · JavaScript · React
Senior Full Stack Java Developer,MTS-IT -,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SQL · J2EE · JSP · JSF · Software Development · Web Development · Computer Science · Information Technology (IT)
Data Annotation Team Lead,Eg Insurtech -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · data labeling · English · Skills · Software Engineering · #data · Artificial Intelligence
Senior QC Tester,waffarha.com -,"Downtown, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Agile · Automation · Information Technology (IT) · Software Testing · Testing · SQL · ISTQB · Analytical Skills · Automation Testing
Junior Azure cloud engineer,Efada Technology -,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud Computing · Cloud · DNS · Engineering · Computer Science · Azure Active Directory · Azure · Active Directory
Senior Security Engineer,Cleopatra Hospitals Group -,"Maadi, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Security
IT Section Head,Confidential -,"Obour City, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Mechanical/Electrical · computer · Computer Science · IT Service Management
Full Stack Developer,Taaly -,"Amsterdam, Netherlands ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Information Technology (IT) · React · Computer Science · Software Development
Senior Odoo Developer,Confidential -,"Sidi Gaber, Alexandria, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Odoo Developer · Software Development · senior · Odoo · JavaScript · OOP
Data Engineer Expert (ETL Informatica Tools),BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL
Web Designer and Developer,ahramat -,"Sheikh Zayed, Giza, Egypt ",Experienced · 2 - 6 Yrs of Exp · Media/Journalism/Publishing · Designer · developer · Web · Web designer · Web Development
Senior software engineer specialized ( Microservices environment),Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · MySQL · NoSQL Database
Senior Data Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling
Mechatronics Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · AutoCAD · CAD · CNC · Automation · Mechatronics · Mechatronics Engineering · Engineering
[Remote] Frontend intern,Freightdog -,"Amsterdam, Netherlands ",Entry Level · IT/Software Development · Internship · JavaScript · React · Frontend · Software Development · Startup
Application Support Engineer - ITSM/ITOM Solutions,Sanatech Global Solutions -,"Smouha, Alexandria, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · CCNA · Information Technology (IT) · ITIL · MySQL · Linux · BMC Helix Remedyforce · ServiceNow · SolarWinds · Networking
Senior .NET Core Developer,Accelerate Digital Transformation - Ultimus Egypt -,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · developer · Development · Engineering · English · Information Technology (IT) · JavaScript
Full-Stack Team Leader (Django/React),RDI -,"Dokki, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
Senior Blockchain Developer,eVision -,"Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Programming
Senior Manual and Automation Quality Control,Confidential -,"Riyadh, Saudi Arabia ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Automation · Automation Testing · Computer Science · ISTQB · Quality Assurance · Quality Control
Infrastructure Engineer,Confidential -,"6th of October, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Infrastructure Engineer · engineer
Full Stack Developer,engisoft engineering -,"Ain Shams, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML · Information Technology (IT) · React · MongoDB · Software Development · JavaScript
Initial R&D followed by development of an AI system for creating digital business cards,Creatio -,"Sydney, Australia ",Experienced · 2+ Yrs of Exp · IT/Software Development · AI · Computer Vision · Machine Vision · Artificial Intelligence (AI) · Design
Senior PHP Laravel Developer,Confidential -,"Maadi, Cairo, Egypt ",Experienced · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP Laravel · PHP (Laravel) · Senior PHP · Software Development · senior · PHP · laravel developer · Laravel
Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions -,"New Cairo, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Center · hyper converged · Vmware · Hyper-V · DevOps · Storage · Servers
Senior Devops Engineer,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Software · Azure · Computer Science
IT Manager,The Translation Gate -,"Maadi, Cairo, Egypt ",Manager · 10 - 13 Yrs of Exp · IT/Software Development · Information Technology (IT) · Linux · IT · DevOps · Computer Engineering · Networking · AWS · Linux Operating System · Project Management
Software QA Engineer,Ejada  -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Quality Assurance · Software Development · Software · Java · Git · Testing
Data Analyst,Royal Lab -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analyst · Information Technology (IT) · Analyst
IT Application Development and Support Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt ",Experienced · 2 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · software support engineer · Application Development · Software Development · ERP Applications · powerschool · Odoo ERP · Odoo Development
Web Analytics Specialist,scandiweb -,"Alexandria, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Google Analytics · Google tag manager · Web Analytics
System Administrator,RDI -,"Dokki, Giza, Egypt ",Entry Level · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Network Administration · Information Technology (IT) · Networking · Linux · CCNA · CCNP · System Administration
Odoo Developer,SHAWAHID ROADS INDUSTRIAL COMPANY   -,"Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · males_only · Business Development · Odoo · Computer Science · XML · Linux · Programming
"Senior Automation Quality Engineer (Selenium, Appium, REST Assured)",Money Loop  -,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Selenium · QA · quality · Quality Control
Software Engineer,Dubenga -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
Odoo Functional Consultant,Confidential -,"Riyadh, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · ERP · IT · Software · Computer Science · business · Consulting
Software Engineer (kuwait),WorkinVirtual -,"Kuwait City, Kuwait ",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
Network Engineer - Kuwait,WorkinVirtual -,"Kuwait City, Kuwait ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · Networks · Installation
Senior Full Stack Developer,JOBWORLD INDIA -,"Riyadh, Saudi Arabia ",Experienced · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · CSS · HTML · Full Stack
Business Analyst,Truelancer.com -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Junior Backend Developer (Remote),Kreativstorm -,"Tabuk, Saudi Arabia ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · PHP · HTML
Applications Developer,Ezdan Holding Group -,"Doha, Qatar ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · Engineering · SQL
R&D Engineer III,Rewaa -,"Riyadh, Saudi Arabia ",Entry Level · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · R&amp;D · Science · Engineering · Information Technology (IT) · Computer Science · Research · Pharmacy
IT Support Engineer,Opisok Ortho Specialized Clinic -,"Dubai, United Arab Emirates ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Engineering · Customer Support · Customer Service · Computer Engineering
System Engineer (Application Support),Hamad International Airport -,"Doha, Qatar ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Installation · Software Development
Network Security Engineer,"NTT DATA, Inc. -","Riyadh, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks
Senior Software Developer,PayTech Group -,"Doha, Qatar ",Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · SQL · Engineering
Network Security Engineer,NTT -,"Riyadh, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks
Internship - Software Engineer,Rize | رايز -,"Riyadh, Saudi Arabia ",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills
Internship - Data Analysis/ Science,Rize | رايز -,"Riyadh, Saudi Arabia ",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills
"Bytedance, Graduate Corporate Information System, Dubai, 2025",ByteDance -,"Dubai, United Arab Emirates ",Entry Level · Medical/Healthcare · Sales/Retail · Pharmaceutical · bytedance · innovate · team · tech · stakeholders
Project Analyst,Weee! -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Project/Program Management · Analyst/Research · Project Management · Information Technology (IT) · Computer Science · Business Analysis · Software Development · PMP · Analysis
Engineering Manager – PO & QA,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar ",Experienced · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Project Management · Civil Engineering · Information Technology (IT) · Mechanical Engineering · Computer Science · Management
"Security Consultant, Red Team, Mandiant, Google Cloud",Google Cloud - Minnesota -,"Doha, Qatar ",Experienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · ccie · ccnp · computer science · engineering · cybersecurity · software
Backend Engineer,Presight -,"Dubai, United Arab Emirates ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Back-End · Engineering · PHP
"Associate, Business Manager",BlackRock -,"Riyadh, Saudi Arabia ",Not specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Marketing · Sales Target · Customer Service · Customer Support
